자치구,2013,2014,2015,2016,2017,2018,2019,2020,2021,유형
강남구,15708,16139,15863,15758,15617,15327,15439,15200,15182,장애인구
강남구,553444,567307,565897,556382,545435,532126,534770,528855,522618,비장애인구
강동구,18461,18226,17718,17419,17413,17380,17669,18307,18614,장애인구
강동구,469508,463106,445603,431052,422946,414540,422721,445691,447858,비장애인구
강북구,17487,17357,17252,17338,17377,17522,17517,17441,17395,장애인구
강북구,324434,321053,317174,313366,310625,305393,300178,294128,285168,비장애인구
강서구,27509,27979,28026,28240,28717,28810,28854,28727,28546,장애인구
강서구,547727,563674,567665,573864,579538,574801,569419,557174,551222,비장애인구
관악구,20852,20498,20242,20142,20103,20264,20299,20265,20211,장애인구
관악구,514276,511462,508789,505465,500826,499776,497035,489538,479238,비장애인구
광진구,13013,12660,12506,12356,12514,12610,12563,12353,12253,장애인구
광진구,368426,364715,362674,359748,359784,358453,354409,347756,340374,비장애인구
구로구,17620,17596,17316,17213,17289,17603,18141,18280,18374,장애인구
구로구,434548,439535,437288,432387,424270,420883,421230,414208,402789,비장애인구
금천구,11184,10968,10893,10920,11059,11197,11373,11390,11458,장애인구
금천구,247070,247062,245274,243734,242432,242824,240447,236445,233433,비장애인구
노원구,27985,27739,27419,27430,27436,27396,27342,27312,26904,장애인구
노원구,566042,558317,550802,543782,530639,520764,509961,499720,488042,비장애인구
도봉구,14926,14863,14847,15015,15196,15373,15450,15436,15300,장애인구
도봉구,345683,340849,338394,335257,331038,326276,320181,311925,304073,비장애인구
동대문구,16497,16317,15994,15909,15893,15838,15871,15701,15518,장애인구
동대문구,359948,360002,357830,354403,350118,348500,347152,341313,336488,비장애인구
동작구,15327,15043,14619,14646,14590,14691,14735,14607,14417,장애인구
동작구,406160,404218,398155,398601,393903,394694,394177,386965,379947,비장애인구
마포구,14442,14161,13872,13392,13250,13219,13119,12951,12945,장애인구
마포구,376656,381669,384479,377495,372533,373140,372806,368907,365741,비장애인구
서대문구,12808,12633,12510,12626,12644,12610,12612,12551,12311,장애인구
서대문구,311259,308228,310595,313245,312384,310470,310559,310401,303348,비장애인구
서초구,10783,10929,10945,10872,10774,10581,10556,10542,10291,장애인구
서초구,435758,443359,440313,440605,434627,427582,424551,418483,405876,비장애인구
성동구,12052,11849,11785,11664,11770,11880,11686,11412,11284,장애인구
성동구,294519,292042,293280,295497,300941,304583,297293,289093,281388,비장애인구
성북구,19368,18615,18115,17755,17529,17415,17687,17490,17382,장애인구
성북구,465979,457346,451445,443862,437878,430272,437057,429566,422760,비장애인구
송파구,20159,19876,19610,19499,19790,20008,20280,20286,20356,장애인구
송파구,654796,651918,647870,645447,651383,653499,662461,653640,643609,비장애인구
양천구,17904,17508,17291,17200,17232,17350,17456,17558,17525,장애인구
양천구,479030,473200,471719,464645,457786,450795,444829,440223,432962,비장애인구
영등포구,15636,15202,14822,14419,14351,14405,14411,14539,14495,장애인구
영등포구,405941,406234,402989,392360,387673,389195,386575,392828,386413,비장애인구
용산구,8869,8638,8325,8189,8116,8102,8025,7960,7686,장애인구
용산구,243056,241276,239584,236913,236328,236988,237160,236685,229599,비장애인구
은평구,21763,21504,21440,21352,21301,21531,21617,21773,21756,장애인구
은평구,486348,481739,481138,474585,469901,466135,462929,462270,455417,비장애인구
종로구,6641,6402,6190,6072,6064,6017,6068,6015,5929,장애인구
종로구,161226,158942,157632,155850,158193,157009,155801,152981,147860,비장애인구
중구,6102,5954,5782,5719,5694,5638,5712,5700,5634,장애인구
중구,131888,130273,128547,128690,128899,129995,130776,128935,126153,비장애인구
중랑구,20339,20252,19998,19882,20034,20153,20361,20394,20357,장애인구
중랑구,400898,403159,398622,395795,392746,387994,381663,379168,371528,비장애인구
